Soil_Type,Sunlight_Hours,Water_Frequency,Fertilizer_Type,Temperature,Humidity,Growth_Milestone
sandy,7.545357659129451,daily,organic,34.012142938751126,76.63642416770065,0
sandy,8.374043008245923,bi-weekly,organic,18.12874085342172,63.62592280385192,0
loam,4.568,bi-weekly,organic,30.1,48.0,1
loam,9.17862055525356,weekly,organic,20.598677938918858,54.72101523512907,1
clay,9.445398843556555,bi-weekly,chemical,15.90608019544089,67.66890926294708,0
sandy,4.917,daily,chemical,28.7,54.5,1
clay,7.8253448281312785,bi-weekly,chemical,22.119453573025236,37.1495841026418,0
loam,4.647348561959827,daily,chemical,18.464037398200304,48.71353978780601,1
sandy,7.800422539062541,weekly,chemical,26.715511625469265,53.43303209970631,1
loam,5.495753374893249,bi-weekly,none,22.492252292529425,48.81297927654579,1
sandy,9.228763541126304,daily,none,33.80460482849915,32.815163784091865,0
clay,4.66031154716606,weekly,none,34.22381127647829,44.28560431409304,0
clay,8.844640930984376,weekly,chemical,25.9123357863187,59.16843825485798,0
clay,4.71756547562981,bi-weekly,chemical,17.321452810138325,35.05613380613951,1
sandy,5.451,daily,none,31.3,46.1,0
sandy,7.445,daily,chemical,18.3,48.7,0
sandy,9.774683769652668,weekly,chemical,32.549440270541055,61.37790400420317,1
sandy,5.233,daily,organic,31.8,47.9,1
clay,7.367663185416977,daily,none,32.10921168022014,33.638150318209675,0
clay,6.917,daily,organic,18.9,67.1,0
sandy,5.612,weekly,organic,19.2,61.6,1
loam,5.738508717482608,daily,none,18.258688541628597,75.3177192547368,1
sandy,5.924680389830416,bi-weekly,chemical,16.82573353572267,66.28597541941801,0
clay,7.657386003879381,weekly,organic,31.13669478534528,74.51318919454582,0
clay,6.812,weekly,organic,26.5,65.2,1
loam,5.671878785419668,weekly,none,22.440361715855666,43.86905914905663,1
sandy,7.801178264565368,daily,none,32.91046456992401,38.130846967244565,0
sandy,6.356,daily,none,30.8,63.7,0
clay,6.658,bi-weekly,none,27.8,54.6,0
loam,8.90808859553496,daily,none,16.38722601750331,78.16112697203056,0
loam,5.865893930293973,daily,chemical,27.234414924687044,74.38520913791498,1
loam,6.127,bi-weekly,organic,22.1,55.7,1
sandy,8.377637070028385,bi-weekly,chemical,19.95461979002315,35.853350821380296,1
loam,5.985388149115895,bi-weekly,chemical,29.75793833391537,57.47644411618678,0
clay,7.528,weekly,none,22.0,70.4,0
clay,5.939217592124532,bi-weekly,chemical,31.28936965177872,78.46512678095495,0
clay,5.119420353316215,daily,organic,22.76339852413044,35.87631233885524,1
loam,4.152514760464571,daily,chemical,24.469435415611315,79.33197892505876,0
clay,6.025691028421768,daily,chemical,31.89750621938909,33.68982823676994,0
sandy,4.649,weekly,none,28.5,55.1,0
clay,8.317,weekly,none,27.5,60.3,0
loam,6.0,bi-weekly,none,22.0,55.0,1
sandy,7.627,bi-weekly,organic,23.9,69.8,0
clay,8.846,weekly,organic,27.7,56.8,1
clay,6.833289550971696,weekly,chemical,15.287869772595116,60.91090316581305,1
loam,9.043,weekly,organic,26.4,70.1,1
loam,4.934,bi-weekly,none,24.5,61.7,0
clay,7.945,weekly,chemical,27.0,57.6,1
clay,7.112743730460196,bi-weekly,chemical,20.637095495468,56.15489220850744,1
sandy,4.118,bi-weekly,none,31.2,50.4,1
clay,6.150794371265635,daily,organic,29.291918454001248,69.48090713972769,0
loam,4.932,bi-weekly,chemical,31.4,54.0,1
sandy,7.245,daily,none,30.4,63.4,1
clay,9.263,weekly,none,22.4,69.2,0
loam,6.762,daily,organic,22.9,46.5,1
sandy,5.36761097525165,bi-weekly,chemical,33.107012839121275,73.42995640947302,0
loam,4.372,weekly,organic,27.2,55.2,0
loam,8.019,weekly,organic,27.3,55.3,1
sandy,8.745,weekly,none,20.6,70.5,0
loam,8.822032461394688,bi-weekly,organic,26.50948355751758,35.9408958134036,1
sandy,7.491,daily,chemical,28.4,54.3,1
clay,6.917,weekly,chemical,18.6,61.4,1
loam,5.372788992949735,daily,none,32.12979682376644,57.92021248679025,1
